lr-AdamW/pg1,lr-AdamW/pg2,lr-AdamW/pg3,step,CD_Loss,MSE_Bias_Loss,MSE_Var_Loss,epoch
,,,149,-200.29391479492188,0.46885931491851807,0.7806410789489746,0
0.0005,0.0005,0.0005,154,,,,
,,,154,-202.66415405273438,0.45067083835601807,0.7687560319900513,0
0.0005,0.0005,0.0005,159,,,,
,,,159,-202.3759765625,0.4332659840583801,0.7435272932052612,0
0.0005,0.0005,0.0005,164,,,,
,,,164,-208.9884033203125,0.41398516297340393,0.7241711616516113,0
0.0005,0.0005,0.0005,169,,,,
,,,169,-201.95611572265625,0.40185263752937317,0.7080187797546387,0
0.0005,0.0005,0.0005,174,,,,
,,,174,-201.13156127929688,0.39014384150505066,0.6934350728988647,0
0.0005,0.0005,0.0005,179,,,,
,,,179,-200.99488830566406,0.37641486525535583,0.6797301769256592,0
0.0005,0.0005,0.0005,184,,,,
,,,184,-208.55459594726562,0.3608231842517853,0.6740832924842834,0
0.0005,0.0005,0.0005,189,,,,
,,,189,-197.31678771972656,0.34767353534698486,0.6553017497062683,0
0.0005,0.0005,0.0005,194,,,,
,,,194,-197.30030822753906,0.3426324129104614,0.6480633616447449,0
0.0005,0.0005,0.0005,199,,,,
,,,199,-206.1840362548828,0.32072126865386963,0.6270332336425781,0
0.0005,0.0005,0.0005,204,,,,
,,,204,-213.80967712402344,0.3061245083808899,0.6182068586349487,0
0.0005,0.0005,0.0005,209,,,,
,,,209,-200.47015380859375,0.3063339591026306,0.6202913522720337,0
0.0005,0.0005,0.0005,214,,,,
,,,214,-195.64816284179688,0.30252015590667725,0.6202707886695862,0
0.0005,0.0005,0.0005,219,,,,
,,,219,-202.17446899414062,0.2884008586406708,0.6065993905067444,0
0.0005,0.0005,0.0005,224,,,,
,,,224,-200.70233154296875,0.28070613741874695,0.5943189859390259,0
0.0005,0.0005,0.0005,229,,,,
,,,229,-185.7117919921875,0.2826720178127289,0.6048029065132141,0
0.0005,0.0005,0.0005,234,,,,
,,,234,-172.69740295410156,0.28697746992111206,0.5988377332687378,0
0.0005,0.0005,0.0005,239,,,,
,,,239,-188.27450561523438,0.276075154542923,0.5944205522537231,0
0.0005,0.0005,0.0005,244,,,,
,,,244,-178.46295166015625,0.2745153605937958,0.5873761177062988,0
0.0005,0.0005,0.0005,249,,,,
,,,249,-179.19114685058594,0.26788246631622314,0.5922393202781677,0
0.0005,0.0005,0.0005,254,,,,
,,,254,-179.27268981933594,0.26390931010246277,0.5823000073432922,0
0.0005,0.0005,0.0005,259,,,,
,,,259,-180.56423950195312,0.25682732462882996,0.5686607956886292,0
0.0005,0.0005,0.0005,264,,,,
,,,264,-166.632568359375,0.26340681314468384,0.5819700360298157,0
0.0005,0.0005,0.0005,269,,,,
,,,269,-170.59742736816406,0.25719988346099854,0.5805201530456543,0
