epoch,time_sec
0,70.31641840934753
1,71.16780757904053
2,74.48023080825806
3,77.73564720153809
4,82.21766138076782
5,88.03392195701599
6,88.09970879554749
7,92.40479278564453
8,97.90479016304016
9,95.8910059928894
10,98.3337504863739
11,102.85661435127258
12,103.28567504882812
13,107.25445556640625
14,111.7431583404541
15,114.18791651725769
16,118.73515725135803
17,121.59102535247803
18,137.17989993095398
19,152.43668866157532
20,143.68214321136475
21,156.7320351600647
22,149.1653389930725
23,142.53468704223633
24,154.64712715148926
25,144.78759860992432
26,148.8673689365387
27,154.9362072944641
28,161.47799444198608
29,155.56751251220703
30,158.4285764694214
31,161.5052192211151
32,165.473783493042
33,170.0280454158783
34,172.2559449672699
35,167.1382384300232
36,195.63893723487854
37,196.97311401367188
38,188.97768020629883
39,178.1857349872589
40,188.1633279323578
41,186.5385866165161
42,176.69381546974182
43,169.94420075416565
44,163.37817454338074
45,165.58832001686096
46,163.65165781974792
47,164.62779760360718
48,163.71510696411133
49,164.17795872688293
