lr-AdamW/pg1,lr-AdamW/pg2,lr-AdamW/pg3,step,CD_Loss,MSE_Bias_Loss,MSE_Var_Loss,epoch
0.0005,0.0005,0.0005,94,,,,
,,,94,-158.16064453125,0.6741660237312317,1.0119810104370117,0
0.0005,0.0005,0.0005,99,,,,
,,,99,-163.6869659423828,0.6655378341674805,0.9874059557914734,0
0.0005,0.0005,0.0005,104,,,,
,,,104,-172.83209228515625,0.643220067024231,0.9849129319190979,0
0.0005,0.0005,0.0005,109,,,,
,,,109,-180.97857666015625,0.6175552606582642,0.9711852669715881,0
0.0005,0.0005,0.0005,114,,,,
,,,114,-179.29605102539062,0.6143391728401184,0.9437845945358276,0
0.0005,0.0005,0.0005,119,,,,
,,,119,-190.36099243164062,0.5904057025909424,0.9337025880813599,0
0.0005,0.0005,0.0005,124,,,,
,,,124,-196.35140991210938,0.5657010674476624,0.9121373891830444,0
0.0005,0.0005,0.0005,129,,,,
,,,129,-191.06063842773438,0.5527245402336121,0.8876811265945435,0
0.0005,0.0005,0.0005,134,,,,
,,,134,-201.3546905517578,0.5364072918891907,0.8679928779602051,0
0.0005,0.0005,0.0005,139,,,,
,,,139,-198.58108520507812,0.5198647379875183,0.8553258180618286,0
0.0005,0.0005,0.0005,144,,,,
,,,144,-203.45965576171875,0.5039138793945312,0.843646228313446,0
0.0005,0.0005,0.0005,149,,,,
,,,149,-206.63333129882812,0.4876973330974579,0.8150159120559692,0
0.0005,0.0005,0.0005,154,,,,
,,,154,-213.37255859375,0.4738447368144989,0.8081993460655212,0
0.0005,0.0005,0.0005,159,,,,
,,,159,-204.32838439941406,0.46032053232192993,0.7904894948005676,0
0.0005,0.0005,0.0005,164,,,,
,,,164,-217.4846649169922,0.43379056453704834,0.7623116374015808,0
0.0005,0.0005,0.0005,169,,,,
,,,169,-212.27511596679688,0.4215685725212097,0.7457799315452576,0
0.0005,0.0005,0.0005,174,,,,
,,,174,-209.8778076171875,0.40647900104522705,0.7286547422409058,0
0.0005,0.0005,0.0005,179,,,,
,,,179,-205.5529022216797,0.39807549118995667,0.7144548296928406,0
0.0005,0.0005,0.0005,184,,,,
,,,184,-208.22853088378906,0.3800106346607208,0.7085494995117188,0
0.0005,0.0005,0.0005,189,,,,
,,,189,-209.68275451660156,0.3655923306941986,0.687706470489502,0
0.0005,0.0005,0.0005,194,,,,
,,,194,-209.6961669921875,0.3645976185798645,0.6765757203102112,0
0.0005,0.0005,0.0005,199,,,,
,,,199,-204.2900390625,0.3484593331813812,0.6562339663505554,0
0.0005,0.0005,0.0005,204,,,,
,,,204,-220.01519775390625,0.3252457082271576,0.6384040117263794,0
0.0005,0.0005,0.0005,209,,,,
,,,209,-200.008544921875,0.33018797636032104,0.644399106502533,0
0.0005,0.0005,0.0005,214,,,,
,,,214,-205.83132934570312,0.3201340138912201,0.6423732042312622,0
0.0005,0.0005,0.0005,219,,,,
,,,219,-206.20346069335938,0.3075258433818817,0.6289860606193542,0
0.0005,0.0005,0.0005,224,,,,
,,,224,-204.3796844482422,0.2972989082336426,0.6092996597290039,0
0.0005,0.0005,0.0005,229,,,,
,,,229,-200.28880310058594,0.2927170991897583,0.6169703006744385,0
0.0005,0.0005,0.0005,234,,,,
,,,234,-182.6397705078125,0.2943944036960602,0.6044115424156189,0
0.0005,0.0005,0.0005,239,,,,
,,,239,-197.93748474121094,0.28547215461730957,0.6028080582618713,0
